위도,경도,cluster
-6.7065,155.232,1
19.1631,-66.5251,2
-4.7803,102.7675,0
17.4535,93.4248,0
-15.1473,66.7962,2
36.595,-121.2063333,2
52.557,-166.9914,0
23.9374,122.5711,0
17.9266,-66.9146,2
18.6319,120.9637,0
10.069,126.5571,0
17.9275,-66.9091,2
52.247,-168.3156,0
-12.8831,166.3007,2
-13.8596,166.5448,2
-60.8195,-51.0213,2
-2.5533,140.8007,1
-56.2415,-123.5343,1
19.1401666666667,-156.197,0
40.409,-123.971,1
40.6042,-29.1424,2
-3.4567,131.0209,2
29.7295,70.1934,2
19.3601,-65.7256,0
-2.493,140.7385,2
52.356,-168.3292,0
9.3909,126.0204,2
27.5974,90.3069,0
52.1979,-168.2216,2
41.9737,142.5635,0
36.2865,21.8713,0
-18.9878,167.6221,2
-59.7984,-26.2746,0
-5.8015,101.4021,2
-63.3763,171.7509,2
24.0154,121.7126,0
17.9633,-67.0076,2
52.8439,-162.1708,2
40.5766,-29.3138,2
40.4756,-29.3491,1
-63.3921,171.223,2
43.3989,-127.2682,2
23.5489,142.4252,2
-6.7418,144.6436,0
16.0955,-95.5745,0
5.4686,97.1178,1
36.1405,21.6628,0
51.3249,-179.536,0
-19.9514,-174.3869,0
31.8534,131.5447,0
36.5797,142.4842,2
-9.0813,40.6115,2
-65.2429,179.2554,1
12.6191,143.3343,0
52.3579,-168.4712,0
9.7528,-69.6309,2
35.531,25.8574,2
30.2167,-41.9612,1
10.8119,91.5945,2
3.5828,127.107,0
-2.5003,140.9669,2
40.5483,-29.3131,1
5.3792,97.0686,2
8.4519,126.9002,1
55.5136,162.0419,0
-2.4043,140.7873,2
31.1665,141.7623,1
-16.0098,-75.0248,2
10.8475,95.1111,2
10.7847,95.0957,2
-23.3486,-174.5472,2
-22.1015,170.1577,2
8.4265,126.6748,0
45.8784,-27.6336,2
-2.4909,140.8952,2
-16.9179,-72.4467,0
-56.2277,-122.47,2
53.7752,-165.4867,0
40.2108,142.6435,1
-3.9229,133.3247,1
23.6068,142.8169,0
-2.4683,140.9658,2
23.2472,142.9083,2
-2.4806,140.8033,2
-40.9602,-88.0226,2
10.3251,125.8803,0
-2.4736,140.8447,2
-2.4745,140.8809,1
-65.1631,179.2943,1
48.3357,23.1428,2
19.4895,-155.267166666667,2
12.8244,-90.1479,2
11.8178,-86.9783,0
-65.4071,178.8954,1
-2.8884,134.2964,2
-2.9351,134.2411,2
-4.6561,152.5,0
-37.6553,175.7164,1
-2.5084,140.7059,2
4.2505,126.7251,0
-2.4465,140.7623,1
-2.6188,140.5861,2
0.8467,-29.2475,1
38.3676,-30.3477,2
36.4342,22.0756,0
-9.012,158.0908,2
36.3591,21.9463,2
-57.7447,-25.3787,1
-57.5329,-24.7122,2
-58.5854,-25.1398,0
-57.6212,-25.0608,2
42.4106,64.4461,2
-57.7446,-25.1755,1
-2.4752,140.7244,1
-9.173,159.2781,2
0.0764,170.0324,1
53.8855,-35.0411,1
53.94,-35.0776,2
-1.0394,98.3047,2
-2.4665,140.909,2
-10.7304,113.4073,2
-2.4264,140.8289,2
-2.541,140.6961,0
31.7032,73.979,2
51.9733,174.7812,0
-6.1707,149.1598,0
